cancer,gene,total_patients,pct_eligible_heavily_silenced,n_eligible,pct_predicted_responsive
PAAD,CDKN2A,171,2.9,5,40.0
PAAD,RASSF1,177,42.9,76,10.5
PAAD,APC,177,45.2,80,31.2
PAAD,SMAD4,177,0.0,0,0.0
PAAD,TP53,177,0.0,0,0.0
TNBC,CDKN2A,1061,52.7,559,59.6
TNBC,RASSF1,1065,56.1,597,60.5
TNBC,APC,1065,39.7,423,61.7
TNBC,SMAD4,1064,0.0,0,0.0
TNBC,TP53,1065,0.0,0,0.0
LIHC,CDKN2A,362,48.9,177,74.0
LIHC,RASSF1,366,81.1,297,66.3
LIHC,APC,366,73.2,268,85.4
LIHC,SMAD4,366,0.0,0,0.0
LIHC,TP53,366,0.0,0,0.0
LUAD,CDKN2A,507,30.6,155,29.7
LUAD,RASSF1,508,19.3,98,27.6
LUAD,APC,507,32.0,162,40.7
LUAD,SMAD4,508,0.0,0,0.0
LUAD,TP53,508,0.0,0,0.0
